"RIMM",14.94,"1/16/2013","2:34pm",+0.46,14.69,15.36,14.65,55587248
"AAPL",508.08,"1/16/2013","2:35pm",+22.16,494.71,508.68,492.50,19377080
"GOOG",715.44,"1/16/2013","2:35pm",-9.49,722.40,724.34,713.67,1452596
"MSFT",27.169,"1/16/2013","2:35pm",-0.041,27.21,27.23,27.01,26320414
"IBM",193.10,"1/16/2013","2:35pm",+0.60,192.11,193.18,191.35,1793701
"ORCL",34.795,"1/16/2013","2:35pm",+0.095,34.61,34.87,34.555,11092257
